Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
YDR056C,Q12025,YDR056C,Uncharacterized protein YDR056C,4644,300,0.06,7408,7247,3521,728,9871,888,4944,3462,0.7,5140,6773,2320,5459,NA,2025,4343,1858,0.43
YDR057W,Q99220,YOS9,Protein OS-9 homolog,546,102,0.19,NA,988,154,191,NA,NA,444,385,0.87,NA,185,179,745,NA,1487,649,536,0.83
YDR060W,Q12176,MAK21,Ribosome biogenesis protein MAK21,8388,2145,0.26,15130,30695,3496,4284,9149,444,10533,10165,0.97,7023,12405,3467,8811,4045,1711,6244,3612,0.58
YDR061W,Q12298,YDR061W,Uncharacterized ABC transporter ATP-binding protein YDR061W,281,70,0.25,NA,408,NA,NA,NA,14,211,197,0.93,NA,615,NA,86,NA,NA,350,264,0.75
YDR062W,P40970,LCB2,Serine palmitoyltransferase 2,2577,640,0.25,389,8243,277,244,532,NA,1937,3155,1.63,NA,3467,76,6105,NA,NA,3216,2468,0.77
YDR063W,Q12156,AIM7,Protein AIM7,13681,3343,0.24,19502,26828,4893,5928,4843,35,10338,9499,0.92,33407,32578,5860,18955,2135,9206,17023,12393,0.73
YDR064W,P05756,RPS13,40S ribosomal protein S13,298683,36831,0.12,105155,665627,159314,274507,297202,69306,261852,198572,0.76,356389,496167,258832,315975,341935,243788,335514,82626,0.25
YDR068W,P54858,DOS2,Protein DOS2,8550,980,0.11,8524,11546,5833,3316,14012,2185,7569,4249,0.56,14510,10342,3662,16271,4593,7803,9530,4703,0.49
YDR070C,Q12497,FMP16,"Protein FMP16, mitochondrial",12534,3325,0.27,31538,NA,179,NA,NA,NA,15859,15679,0.99,14371,20468,3540,5143,2521,NA,9208,7026,0.76
YDR071C,Q12447,PAA1,Polyamine N-acetyltransferase 1,204526,39497,0.19,95956,256279,178137,246231,172670,40905,165030,76734,0.46,328136,228875,235256,185902,125834,360136,244023,79802,0.33
YDR074W,P31688,TPS2,Trehalose-phosphatase,6064,2652,0.44,21566,24287,2760,2214,1466,6,8716,10114,1.16,7230,7549,513,5095,39,45,3412,3308,0.97
YDR075W,P32345,PPH3,Serine/threonine-protein phosphatase 4 catalytic subunit,1283,230,0.18,NA,1052,NA,NA,NA,NA,1052,0,0,NA,2030,NA,NA,NA,996,1513,517,0.34
YDR077W,Q01589,SED1,Cell wall protein SED1,264,245,0.93,NA,NA,NA,NA,NA,18,18,0,0,NA,NA,NA,116,NA,903,509,394,0.77
YDR079C-A,Q3E7C1,TFB5,RNA polymerase II transcription factor B subunit 5,5413,2428,0.45,NA,5325,1170,3986,3709,734,2985,1753,0.59,14238,4732,2130,7071,3327,15552,7842,5222,0.67
YDR081C,P32896,PDC2,Protein PDC2,223,84,0.38,NA,275,38,155,187,36,138,92,0.66,301,157,NA,463,NA,NA,307,125,0.41
YDR083W,P38961,RRP8,25S rRNA (adenine(645)-N(1))-methyltransferase,3250,70,0.02,5551,5198,2079,862,5925,306,3320,2308,0.7,4345,3562,1395,3967,2629,NA,3180,1059,0.33
YDR086C,P35179,SSS1,Protein transport protein SSS1,85191,1257,0.01,139436,210083,31882,71515,35359,15333,83935,69430,0.83,59220,133786,62386,172332,28663,62302,86448,49765,0.58
YDR087C,P35178,RRP1,Ribosomal RNA-processing protein 1,1720,245,0.14,4019,1878,122,868,1717,246,1475,1317,0.89,2333,746,1028,4224,NA,1493,1965,1251,0.64
YDR088C,Q02775,SLU7,Pre-mRNA-splicing factor SLU7,1341,967,0.72,NA,796,336,182,499,55,374,258,0.69,1624,1216,819,9375,397,421,2309,3189,1.38
YDR089W,P38966,YDR089W,Uncharacterized protein YDR089W,775,123,0.16,498,1882,995,217,NA,NA,898,633,0.7,714,527,1333,390,514,431,652,321,0.49
YDR091C,Q03195,RLI1,Translation initiation factor RLI1,25645,2838,0.11,38322,103528,6992,9053,11883,1120,28483,35572,1.25,32493,44046,7495,44068,4510,4233,22807,17847,0.78
YDR092W,P52490,UBC13,Ubiquitin-conjugating enzyme E2 13,2346,752,0.32,NA,NA,2632,555,NA,NA,1594,1039,0.65,3369,873,2561,3865,NA,4824,3098,1333,0.43
YDR093W,Q12675,DNF2,Phospholipid-transporting ATPase DNF2,254,22,0.09,72,722,116,170,306,7,232,238,1.02,82,436,277,240,198,420,275,123,0.45
YDR096W,Q03833,GIS1,Transcriptional activator/repressor GIS1,339,7,0.02,629,677,58,NA,NA,19,346,308,0.89,750,321,198,229,NA,163,332,215,0.65
YDR097C,Q03834,MSH6,DNA mismatch repair protein MSH6,1690,499,0.29,2570,2224,567,357,241,NA,1192,996,0.84,323,3432,738,570,7447,625,2189,2577,1.18
YDR098C,Q03835,GRX3,Monothiol glutaredoxin-3,4131,1439,0.35,3476,1387,4872,1640,2085,NA,2692,1307,0.49,6002,NA,1185,8814,NA,6280,5570,2759,0.5
YDR099W,P34730,BMH2,Protein BMH2,819995,90180,0.11,897186,1650740,473215,634417,628200,95134,729815,476831,0.65,1259100,1386640,735004,623125,581707,875475,910175,308476,0.34
YDR101C,Q03862,ARX1,Probable metalloprotease ARX1,16233,1032,0.06,8170,59757,8698,13250,12460,1258,17265,19395,1.12,16099,21313,5631,36253,7843,4064,15200,11189,0.74
YDR107C,Q04562,TMN2,Transmembrane 9 superfamily member 2,2252,1685,0.75,NA,NA,458,NA,677,NA,567,109,0.19,NA,3938,NA,NA,NA,NA,3938,0,0
YDR111C,P52892,ALT2,Probable alanine aminotransferase,320,187,0.58,NA,NA,NA,218,NA,48,133,85,0.64,780,NA,NA,297,NA,444,507,202,0.4
YDR115W,Q04598,YDR115W,"54S ribosomal protein L34, mitochondrial",1983,1540,0.78,NA,9725,NA,371,473,NA,3523,4386,1.24,207,401,492,674,NA,NA,443,168,0.38
YDR116C,Q04599,MRPL1,"54S ribosomal protein L1, mitochondrial",2861,665,0.23,4118,6371,849,NA,5601,689,3526,2365,0.67,2617,3101,1608,1458,NA,NA,2196,687,0.31
YDR117C,Q04600,TMA64,Translation machinery-associated protein 64,1858,113,0.06,415,6246,984,1449,2403,329,1971,2034,1.03,4214,2691,556,2520,202,290,1745,1500,0.86
YDR119W,Q04602,VBA4,Vacuolar basic amino acid transporter 4,3785,438,0.12,4566,11523,1904,2796,4225,327,4223,3559,0.84,3743,4646,3472,2729,4832,661,3347,1394,0.42
YDR120C,P15565,TRM1,"tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial",6500,373,0.06,7900,22568,1993,4087,4524,168,6873,7410,1.08,6494,9887,2888,15410,840,1244,6127,5208,0.85
YDR121W,Q04603,DPB4,DNA polymerase epsilon subunit D,6101,271,0.04,4919,9174,4543,2492,11931,1920,5830,3590,0.62,6648,7126,7301,11054,2839,3264,6372,2756,0.43
YDR122W,P13185,KIN1,Serine/threonine protein kinase KIN1,1245,55,0.04,2285,3101,347,37,178,NA,1190,1258,1.06,2775,2319,570,810,30,NA,1301,1058,0.81
YDR127W,P08566,ARO1,Pentafunctional AROM polypeptide,20697,3160,0.15,25303,72365,10352,17533,16190,1405,23858,22878,0.96,28119,34231,8870,27116,3654,3233,17537,12615,0.72
YDR129C,P32599,SAC6,Fimbrin,84858,573,0.01,98066,269412,28031,57745,54377,4953,85431,87093,1.02,105565,158853,55169,87487,61463,37175,84285,40024,0.47
YDR135C;YKR104W,P39109,YCF1,Metal resistance protein YCF1,1169,129,0.11,1387,5317,113,440,502,25,1297,1851,1.43,1002,1864,463,2384,282,243,1040,820,0.79
YDR138W,P17629,HPR1,THO complex subunit HPR1,9158,8514,0.93,1237,103523,441,131,655,42,17672,38396,2.17,1402,1026,180,385,226,NA,644,485,0.75
YDR140W,Q03920,MTQ2,eRF1 methyltransferase catalytic subunit MTQ2,11237,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11237,NA,NA,11237,0,0
YDR141C,Q03921,DOP1,Protein dopey,277,218,0.79,NA,64,54,NA,NA,NA,59,5,0.08,NA,NA,NA,495,NA,NA,495,0,0
YDR143C,P22470,SAN1,Protein SAN1,608,243,0.4,NA,664,142,421,475,122,365,207,0.57,479,904,1533,334,535,1323,851,447,0.52
YDR144C,P53379,MKC7,Aspartic proteinase MKC7,1469,417,0.28,NA,926,1451,924,1801,158,1052,557,0.53,485,736,291,1815,629,7366,1887,2498,1.32
YDR145W,Q03761,TAF12,Transcription initiation factor TFIID subunit 12,4302,340,0.08,3479,7923,2400,2810,6540,621,3962,2500,0.63,8342,6989,3917,5130,1099,2376,4642,2505,0.54
YDR146C,P08153,SWI5,Transcriptional factor SWI5,24,0,0.02,NA,NA,NA,NA,NA,23,23,0,0,NA,NA,NA,24,NA,NA,24,0,0
YDR147W,Q03764,EKI1,Ethanolamine kinase,215,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,215,0,0
YDR148C,P19262,KGD2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",26175,3361,0.13,36133,75757,19930,20023,23300,2076,29536,22933,0.78,49305,39681,10522,15009,13577,8790,22814,15707,0.69
YDR150W,Q00402,NUM1,Nuclear migration protein NUM1,8754,1271,0.15,7345,19666,3350,5532,8039,963,7482,5946,0.79,11185,12551,6699,7392,6901,15421,10025,3281,0.33
YDR152W,Q03768,GIR2,Protein GIR2,10494,739,0.07,9067,29041,5421,10330,11857,1682,11233,8641,0.77,8650,8641,6709,6836,9458,18235,9755,3921,0.4
YDR153C,Q03769,ENT5,Epsin-5,3554,86,0.02,3957,8774,1856,1496,4519,203,3468,2788,0.8,3575,6906,2472,3630,NA,1620,3640,1796,0.49
YDR155C,P14832,CPR1,Peptidyl-prolyl cis-trans isomerase,1610350,484240,0.3,1498240,2701220,839935,948837,736688,31735,1126109,824831,0.73,2595640,2133120,2252030,1837660,1537670,2211420,2094590,333453,0.16
YDR156W,P50106,RPA14,DNA-directed RNA polymerase I subunit RPA14,26474,9924,0.37,12913,38406,5490,8828,30190,3472,16550,13102,0.79,28564,38828,31415,18526,53887,47165,36398,11785,0.32
YDR158W,P13663,HOM2,Aspartate-semialdehyde dehydrogenase,87309,16466,0.19,140801,255233,51493,58455,100207,16461,103775,78246,0.75,86793,110950,21550,121859,44994,38914,70843,37822,0.53
YDR159W,P46674,SAC3,Nuclear mRNA export protein SAC3,213,11,0.05,689,83,77,178,172,9,201,226,1.12,94,280,43,480,NA,NA,224,172,0.77
YDR161W,Q03771,YDR161W,UPF0661 TPR repeat-containing protein YDR161W,9153,824,0.09,10060,20065,4200,5886,8770,990,8328,6025,0.72,10074,7131,8692,10644,NA,13342,9977,2075,0.21
YDR162C,Q12163,NBP2,NAP1-binding protein 2,3012,639,0.21,NA,4772,2019,995,1705,NA,2373,1434,0.6,5299,3943,940,4888,NA,3184,3651,1543,0.42
YDR163W,Q03772,CWC15,Pre-mRNA-splicing factor CWC15,2059,527,0.26,NA,NA,1920,NA,1145,NA,1533,387,0.25,4021,3897,1500,NA,NA,928,2586,1388,0.54
YDR164C,P30619,SEC1,Protein transport protein SEC1,488,121,0.25,625,868,257,299,78,73,366,290,0.79,296,824,79,1683,NA,163,609,596,0.98
YDR165W,Q03774,TRM82,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82,10694,618,0.06,7949,34106,5237,5241,6574,1349,10076,10933,1.09,9466,14327,7177,26703,2597,7608,11313,7704,0.68
YDR166C,P89102,SEC5,Exocyst complex component SEC5,619,212,0.34,557,257,NA,NA,NA,NA,407,150,0.37,325,1566,NA,602,NA,NA,831,532,0.64
YDR167W,Q12030,TAF10,Transcription initiation factor TFIID subunit 10,4023,308,0.08,749,6614,1914,5439,6394,1181,3715,2484,0.67,1480,1103,1050,1838,5879,14634,4331,4900,1.13
YDR168W,P06101,CDC37,Hsp90 co-chaperone Cdc37,53999,11676,0.22,30758,79834,29010,45664,59712,8958,42323,22894,0.54,75898,60771,50387,56633,58428,91936,65676,14061,0.21
YDR169C,Q12427,STB3,Protein STB3,2165,731,0.34,NA,1150,754,1054,1115,3096,1434,843,0.59,6384,4944,2444,1329,268,2008,2896,2110,0.73
YDR170C,P11075,SEC7,Protein transport protein SEC7,2788,342,0.12,5148,10259,874,598,1805,95,3130,3591,1.15,3723,3273,540,5101,1680,359,2446,1729,0.71
YDR170W-A,Q03964,TY1A-DR2,Transposon Ty1-DR2 Gag polyprotein,139,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,139,0,0
YDR171W,Q12329,HSP42,Heat shock protein 42,38015,488,0.01,34903,117424,24232,23814,23032,1760,37527,37069,0.99,82404,59546,34787,21918,20028,12339,38504,24782,0.64
YDR172W,P05453,SUP35,Eukaryotic peptide chain release factor GTP-binding subunit,49396,191,0,56404,128101,18743,39794,46946,7532,49587,38802,0.78,66876,70747,26595,76320,31201,23489,49205,22391,0.46
YDR173C,P07250,ARG82,Inositol polyphosphate multikinase,484,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,NA,NA,NA,720,484,237,0.49
YDR174W,Q03973,HMO1,High mobility group protein 1,132017,20981,0.16,56053,259236,87710,134153,107605,21463,111037,75388,0.68,129687,155080,149251,88889,202806,192273,152998,38068,0.25
YDR175C,Q03976,RSM24,"37S ribosomal protein S24, mitochondrial",3590,800,0.22,NA,7484,1604,2585,1785,494,2790,2440,0.87,8992,7479,1415,798,NA,3267,4390,3279,0.75
YDR176W,P32494,NGG1,Chromatin-remodeling complexes subunit NGG1,454,298,0.66,NA,228,140,228,114,65,155,64,0.41,1189,227,349,383,NA,1611,752,548,0.73
YDR177W,P21734,UBC1,Ubiquitin-conjugating enzyme E2 1,37338,16750,0.45,8531,40950,32379,24430,16503,732,20588,13692,0.67,85862,64923,31084,43179,9790,89693,54089,28883,0.53
YDR178W,P37298,SDH4,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",2008,1086,0.54,6349,4784,634,NA,610,NA,3094,2533,0.82,NA,1687,NA,158,NA,NA,923,765,0.83
YDR179C,Q03981,CSN9,COP9 signalosome complex subunit 9,969,188,0.19,NA,779,784,NA,NA,NA,781,3,0,900,689,644,2728,NA,827,1157,790,0.68
YDR183W,Q04004,PLP1,Phosducin-like protein 1,480,75,0.16,NA,NA,NA,NA,555,NA,555,0,0,221,NA,NA,826,NA,169,406,298,0.73
YDR184C,Q04005,ATC1,Protein ATC1/LIC4,4990,79,0.02,1481,NA,9971,3674,8575,852,4911,3709,0.76,11587,NA,NA,3337,NA,285,5070,4774,0.94
YDR186C,Q04007,YDR186C,Uncharacterized protein YDR186C,583,1,0,NA,NA,205,960,NA,NA,583,377,0.65,169,1375,126,499,750,NA,584,457,0.78
YDR188W,P39079,CCT6,T-complex protein 1 subunit zeta,22486,1878,0.08,34445,61087,15824,10215,22182,2436,24365,19187,0.79,28850,36585,12932,26928,9583,8769,20608,10675,0.52
YDR189W,P22213,SLY1,Protein SLY1,3471,633,0.18,1469,5859,2390,3941,2907,461,2838,1736,0.61,5552,5550,3536,7557,498,1930,4104,2386,0.58
YDR190C,Q03940,RVB1,RuvB-like protein 1,43848,5442,0.12,44876,84058,21864,36902,34332,8407,38406,23517,0.61,73834,67496,29703,61846,22161,40701,49290,19515,0.4
YDR192C,P49686,NUP42,Nucleoporin NUP42,977,532,0.54,NA,NA,NA,749,390,195,445,229,0.52,746,1040,2153,758,NA,2848,1509,846,0.56
YDR194C,P15424,MSS116,"ATP-dependent RNA helicase MSS116, mitochondrial",2803,426,0.15,3531,6692,845,1498,1460,234,2377,2180,0.92,5211,3957,311,5956,NA,707,3229,2314,0.72
YDR195W,P42073,REF2,RNA end formation protein 2,843,73,0.09,NA,2145,101,162,670,NA,770,825,1.07,1702,1830,520,664,172,612,916,622,0.68
YDR196C,Q03941,CAB5,Dephospho-CoA kinase CAB5,1165,132,0.11,NA,1842,225,NA,NA,NA,1033,808,0.78,NA,1297,NA,NA,NA,NA,1297,0,0
YDR198C,Q03942,RKM2,Ribosomal lysine N-methyltransferase 2,112,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,112,0,0
YDR200C,Q03944,VPS64,Vacuolar protein sorting-associated protein 64,1018,253,0.25,3920,NA,634,362,1393,46,1271,1398,1.1,771,1218,143,931,NA,NA,766,393,0.51
YDR201W,Q03954,SPC19,DASH complex subunit SPC19,5173,1797,0.35,2294,12458,1166,2795,1260,285,3376,4141,1.23,23041,3924,4007,4566,604,5680,6970,7352,1.05
YDR202C,Q03956,RAV2,Regulator of V-ATPase in vacuolar membrane protein 2,1931,0,0,NA,1931,NA,NA,NA,NA,1931,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDR204W,O13525,COQ4,"Ubiquinone biosynthesis protein COQ4, mitochondrial",2291,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2902,NA,1680,2291,611,0.27
YDR207C,P39001,UME6,Transcriptional regulatory protein UME6,365,349,0.96,NA,NA,NA,NA,NA,16,16,0,0,NA,NA,NA,344,NA,1084,714,370,0.52
YDR208W,P38994,MSS4,Probable phosphatidylinositol 4-phosphate 5-kinase MSS4,474,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,NA,658,474,184,0.39
YDR211W,P32501,GCD6,Translation initiation factor eIF-2B subunit epsilon,3691,238,0.06,6569,12072,1258,1411,2166,95,3928,4174,1.06,2075,4832,3924,5078,2618,2194,3453,1221,0.35
YDR212W,P12612,TCP1,T-complex protein 1 subunit alpha,20360,2649,0.13,22433,45174,5442,15286,16978,951,17710,14226,0.8,20293,33296,19450,38614,17192,9208,23009,9947,0.43
YDR213W,Q12151,UPC2,Sterol uptake control protein 2,234,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,234,0,0
YDR214W,Q12449,AHA1,Hsp90 co-chaperone AHA1,20072,721,0.04,22384,35956,10502,20293,32962,2662,20793,11658,0.56,18072,27620,9465,45652,7557,7738,19351,13744,0.71
YDR217C,P14737,RAD9,DNA repair protein RAD9,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,107,NA,59,78,21,0.27
YDR221W,Q04924,GTB1,Glucosidase 2 subunit beta,1078,217,0.2,1209,1449,350,NA,1155,144,862,515,0.6,687,1428,393,2134,NA,1832,1295,662,0.51
YDR222W,Q04925,YDR222W,SVF1-like protein YDR222W,500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,500,0,0
YDR226W,P07170,ADK1,Adenylate kinase,672288,149685,0.22,463929,1156020,394376,546995,455810,118486,522603,313440,0.6,1049040,1067760,654238,720604,499962,940233,821973,211368,0.26
YDR227W,P11978,SIR4,Regulatory protein SIR4,963,809,0.84,NA,182,101,189,263,34,154,79,0.51,589,351,39,9343,57,250,1772,3391,1.91
YDR228C,P39081,PCF11,Protein PCF11,965,157,0.16,NA,3887,307,125,168,NA,1122,1598,1.42,1091,1547,248,349,NA,NA,809,536,0.66
YDR229W,Q04934,IVY1,Protein IVY1,2276,16,0.01,3359,5359,1029,2292,1659,51,2292,1711,0.75,3544,2004,1510,709,NA,3536,2260,1123,0.5
YDR231C,Q04935,COX20,"Cytochrome c oxidase protein 20, mitochondrial",3275,81,0.02,4391,9708,NA,733,1919,34,3357,3504,1.04,2090,4563,NA,2929,NA,NA,3194,1027,0.32
YDR232W,P09950,HEM1,"5-aminolevulinate synthase, mitochondrial",1968,426,0.22,NA,3795,442,454,2880,143,1543,1498,0.97,2977,4649,724,2773,NA,848,2394,1466,0.61
YDR233C,Q04947,RTN1,Reticulon-like protein 1,157538,32487,0.21,365257,473551,83451,74132,137854,5910,190026,169560,0.89,160364,207089,86425,155469,105251,35708,125051,55930,0.45
YDR234W,P49367,LYS4,"Homoaconitase, mitochondrial",21095,485,0.02,23008,63538,9641,15676,16067,1550,21580,19881,0.92,37920,31334,15335,21710,7749,9614,20610,11030,0.54
YDR236C,Q03778,FMN1,Riboflavin kinase,1419,793,0.56,NA,NA,183,864,831,NA,626,313,0.5,3761,2203,2040,843,NA,NA,2212,1037,0.47
YDR237W,P36519,MRPL7,"54S ribosomal protein L7, mitochondrial",671,86,0.13,NA,NA,239,885,982,232,584,351,0.6,208,1250,714,856,NA,NA,757,373,0.49
YDR238C,P41810,SEC26,Coatomer subunit beta,7684,1316,0.17,12479,27175,3227,3915,6995,216,9001,8970,1,5176,11760,955,17751,2019,549,6368,6353,1
YDR239C,Q03780,YDR239C,Uncharacterized protein YDR239C,400,30,0.08,109,1065,74,NA,518,85,370,385,1.04,404,471,274,716,204,515,431,167,0.39
YDR243C,P23394,PRP28,Pre-mRNA-splicing ATP-dependent RNA helicase PRP28,237,96,0.4,NA,601,439,52,239,NA,333,207,0.62,218,181,NA,25,NA,NA,141,84,0.59
YDR244W,P35056,PEX5,Peroxisomal targeting signal receptor,7222,3000,0.42,21005,25050,423,2331,12461,64,10222,10022,0.98,1068,1229,6430,2033,10349,NA,4222,3636,0.86
YDR245W,P50108,MNN10,"Probable alpha-1,6-mannosyltransferase MNN10",1141,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141,NA,NA,1141,0,0
YDR246W,Q03784,TRS23,Trafficking protein particle complex subunit 23,1307,226,0.17,NA,1854,712,567,1189,NA,1081,502,0.46,2817,1205,279,1833,NA,NA,1534,925,0.6
YDR248C,Q03786,YDR248C,Probable gluconokinase,2447,611,0.25,5517,4112,129,374,388,496,1836,2147,1.17,4213,5584,4308,3276,502,462,3057,1941,0.63
YDR251W,P37304,PAM1,Protein PAM1,1395,90,0.06,2048,3614,406,614,997,151,1305,1197,0.92,2211,2637,761,1897,462,941,1485,805,0.54
YDR255C,Q12508,RMD5,Sporulation protein RMD5,124,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,110,NA,NA,NA,124,14,0.11
YDR257C,Q12504,RKM4,Ribosomal lysine N-methyltransferase 4,1664,405,0.24,6010,2203,542,471,1116,NA,2069,2066,1,1131,1468,469,2088,1138,NA,1259,527,0.42
YDR258C,P33416,HSP78,"Heat shock protein 78, mitochondrial",25204,2699,0.11,37611,77339,20441,17159,13594,1278,27904,24573,0.88,50243,37074,17992,14006,5366,10352,22505,15894,0.71
YDR259C,Q03935,YAP6,AP-1-like transcription factor YAP6,242,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,NA,NA,242,0,0
YDR261C,P52911,EXG2,"Glucan 1,3-beta-glucosidase 2",1576,180,0.11,2119,6062,366,1368,493,128,1756,2041,1.16,2817,627,2848,408,838,836,1396,1026,0.74
YDR262W,Q12331,YDR262W,FAS1 domain-containing protein YDR262W,2536,784,0.31,679,6758,939,929,1051,154,1752,2258,1.29,6599,3491,1769,NA,625,4115,3320,2053,0.62
YDR264C,P39010,AKR1,Palmitoyltransferase AKR1,260,76,0.29,154,213,NA,NA,NA,NA,184,30,0.16,NA,336,NA,NA,NA,NA,336,0,0
YDR266C,Q05580,HEL2,E3 ubiquitin-protein ligase HEL2,2661,664,0.25,1265,3564,1302,2683,2544,627,1997,1010,0.51,5126,4318,2484,2884,1838,3301,3325,1106,0.33
YDR267C,Q05583,CIA1,Cytosolic iron-sulfur protein assembly protein 1,1698,880,0.52,NA,1933,194,NA,329,NA,819,790,0.96,1035,300,NA,4895,NA,4082,2578,1950,0.76
YDR268W,P04803,MSW1,"Tryptophan--tRNA ligase, mitochondrial",957,527,0.55,NA,1149,355,NA,166,51,430,429,1,2053,1135,NA,1299,NA,1449,1484,347,0.23
YDR272W,Q05584,GLO2,"Hydroxyacylglutathione hydrolase, cytoplasmic isozyme",23572,5417,0.23,17254,47956,7164,14643,18073,3837,18154,14301,0.79,25651,33156,18994,37106,21802,37225,28989,7232,0.25
YDR279W,Q05635,RNH202,Ribonuclease H2 subunit B,400,55,0.14,322,644,318,95,NA,NA,345,196,0.57,204,483,NA,677,NA,NA,455,194,0.43
YDR280W,Q05636,RRP45,Exosome complex component RRP45,5586,182,0.03,9430,15174,3397,3273,3044,289,5768,5019,0.87,5296,9130,3430,8048,1846,4673,5404,2516,0.47
YDR282C,Q05648,YDR282C,Uncharacterized protein YDR282C,1286,513,0.4,1674,4838,85,597,NA,NA,1799,1846,1.03,1431,769,1046,184,NA,435,773,440,0.57
YDR283C,P15442,GCN2,Serine/threonine-protein kinase GCN2,294,213,0.72,NA,836,NA,NA,178,NA,507,329,0.65,NA,61,NA,102,NA,NA,81,21,0.25
YDR286C,Q05530,YDR286C,Glutaredoxin-like protein YDR286C,895,61,0.07,NA,NA,510,NA,1835,157,834,723,0.87,758,1557,477,560,NA,1423,955,448,0.47
YDR287W,Q05533,INM2,Inositol monophosphatase 2,420,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,420,0,0
YDR288W,Q05541,NSE3,Non-structural maintenance of chromosome element 3,1019,968,0.95,NA,NA,NA,NA,NA,51,51,0,0,1988,NA,NA,NA,NA,NA,1988,0,0
YDR289C,Q05543,RTT103,Regulator of Ty1 transposition protein 103,3065,196,0.06,5056,8983,1159,597,3456,308,3260,3062,0.94,3592,4274,2554,2652,972,3172,2869,1027,0.36
YDR292C,P32916,SRP101,Signal recognition particle receptor subunit alpha homolog,3187,28,0.01,4392,8075,1559,1910,2947,411,3216,2496,0.78,3162,2995,178,8287,NA,1172,3159,2799,0.89
YDR293C,P24276,SSD1,Protein SSD1,6047,778,0.13,10319,15441,3791,4537,6345,513,6824,4847,0.71,9830,10671,4106,4692,1820,494,5269,3794,0.72
YDR294C,Q05567,DPL1,Sphingosine-1-phosphate lyase,1855,361,0.19,459,5908,470,300,332,NA,1494,2208,1.48,1211,4763,127,4866,115,NA,2216,2159,0.97
YDR295C,Q06629,HDA2,HDA1 complex subunit 2,755,239,0.32,1461,2102,947,106,1241,109,994,716,0.72,520,836,110,614,NA,500,516,235,0.46
YDR296W,Q06630,MHR1,Mitochondrial homologous recombination protein 1,2831,122,0.04,4044,5287,1160,3677,2841,707,2952,1604,0.54,2827,5172,213,2626,NA,NA,2709,1755,0.65
YDR297W,P38992,SUR2,Sphingolipid C4-hydroxylase SUR2,2571,159,0.06,3340,7070,261,159,1230,NA,2412,2594,1.08,709,3287,4605,2318,NA,NA,2730,1421,0.52
YDR298C,P09457,ATP5,"ATP synthase subunit 5, mitochondrial",140109,4331,0.03,105483,273489,98159,152759,150315,34463,135778,73100,0.54,201984,169446,160453,103502,95411,135847,144441,37297,0.26
YDR299W,Q06631,BFR2,Protein BFR2,14250,1520,0.11,12122,21166,7915,13567,18614,2995,12730,6121,0.48,17343,14082,13885,14899,14657,19753,15770,2111,0.13
YDR300C,P32264,PRO1,Glutamate 5-kinase,9140,1812,0.2,4662,34545,10272,9783,5790,660,10952,11035,1.01,10005,9395,3725,14103,2524,4214,7328,4145,0.57
YDR303C,Q06639,RSC3,Chromatin structure-remodeling complex protein RSC3,516,33,0.06,324,1799,48,26,NA,NA,549,731,1.33,407,825,364,699,NA,119,483,251,0.52
YDR304C,P35176,CPR5,Peptidyl-prolyl cis-trans isomerase D,43924,11652,0.27,8187,89369,27577,29168,33194,6133,32271,27556,0.85,62270,66426,32186,91265,20958,60352,55576,23110,0.42
